x_osa,y_osa,x_tacka,y_tacka
314.0,226.0,40,40
309.0,211.0,40,40
307.3333333333333,206.0,40,40
306.5,203.5,40,40
306.0,202.4,40,40
305.6666666666667,202.0,40,40
305.14285714285717,201.14285714285714,40,40
304.75,200.5,40,40
304.44444444444446,200.0,40,40
304.4,196.0,40,40
303.4,196.0,40,40
303.4,196.0,40,40
303.4,198.0,40,40
303.4,198.66666666666666,40,40
303.4,196.66666666666666,40,40
303.6,196.66666666666666,40,40
303.8,196.93333333333334,40,40
303.8,197.06666666666666,40,40
303.8,197.33333333333334,40,40
303.8,197.46666666666667,40,40
303.8,197.86666666666667,40,40
303.6,197.86666666666667,40,40
303.4,198.0,40,40
303.4,198.26666666666668,40,40
303.4,198.53333333333333,40,40
303.4,198.8,40,40
303.2,198.8,40,40
303.4,198.66666666666666,40,40
303.4,198.66666666666666,40,40
303.2,198.66666666666666,40,40
303.0,199.06666666666666,40,40
303.4,199.33333333333334,40,40
303.6,199.6,40,40
303.6,199.6,40,40
303.6,199.6,40,40
303.4,199.6,40,40
303.4,199.6,40,40
303.2,199.46666666666667,40,40
303.0,199.6,40,40
303.0,199.73333333333332,40,40
303.0,199.6,40,40
302.6,199.46666666666667,40,40
302.4,199.6,40,40
302.2,199.73333333333332,40,40
302.0,199.86666666666667,40,40
302.2,199.86666666666667,40,40
302.4,199.73333333333332,40,40
302.6,199.86666666666667,40,40
302.6,199.86666666666667,40,40
302.6,199.6,40,40
302.6,199.33333333333334,40,40
302.6,199.46666666666667,40,40
302.6,199.86666666666667,40,40
302.6,199.73333333333332,40,40
302.4,199.73333333333332,40,40
302.0,200.0,40,40
302.0,200.26666666666668,40,40
301.8,200.26666666666668,40,40
301.8,200.4,40,40
301.6,200.53333333333333,40,40
301.6,200.26666666666668,40,40
301.6,200.0,40,40
301.6,199.6,40,40
301.6,199.46666666666667,40,40
301.8,199.6,40,40
302.0,199.6,40,40
301.8,199.6,40,40
301.6,199.46666666666667,40,40
301.6,199.46666666666667,40,40
301.8,199.33333333333334,40,40
301.8,199.06666666666666,40,40
301.6,199.2,40,40
301.4,199.33333333333334,40,40
301.2,199.33333333333334,40,40
301.2,199.2,40,40
301.2,199.2,40,40
301.2,199.46666666666667,40,40
301.4,199.6,40,40
301.2,199.6,40,40
301.0,199.6,40,40
301.0,199.86666666666667,40,40
301.2,200.0,40,40
301.4,200.0,40,40
301.6,200.0,40,40
301.8,200.0,40,40
302.0,200.26666666666668,40,40
302.2,200.26666666666668,40,40
