x_osa,y_osa,x_tacka,y_tacka
360.0,308.0,40,40
350.0,314.0,40,40
338.0,322.6666666666667,40,40
333.0,326.5,40,40
330.8,328.4,40,40
331.6666666666667,328.6666666666667,40,40
330.2857142857143,330.0,40,40
329.5,331.0,40,40
328.8888888888889,331.77777777777777,40,40
327.4,339.0,40,40
323.8,339.3333333333333,40,40
322.2,338.0,40,40
323.8,332.0,40,40
323.6,334.26666666666665,40,40
321.4,336.26666666666665,40,40
321.4,337.3333333333333,40,40
320.4,337.2,40,40
319.4,337.2,40,40
320.8,336.6666666666667,40,40
321.2,336.53333333333336,40,40
320.8,336.4,40,40
320.6,335.2,40,40
319.4,335.06666666666666,40,40
321.0,334.26666666666665,40,40
321.4,334.0,40,40
321.6,333.6,40,40
321.6,334.0,40,40
322.6,334.0,40,40
321.6,333.8666666666667,40,40
322.0,333.2,40,40
321.6,333.2,40,40
320.0,333.2,40,40
321.8,332.8,40,40
322.0,333.06666666666666,40,40
323.4,333.3333333333333,40,40
323.8,333.06666666666666,40,40
325.2,333.8666666666667,40,40
326.0,333.2,40,40
326.6,333.46666666666664,40,40
325.8,333.46666666666664,40,40
326.8,333.46666666666664,40,40
333.2,331.3333333333333,40,40
338.4,329.3333333333333,40,40
337.2,329.2,40,40
337.0,329.3333333333333,40,40
336.8,329.2,40,40
336.6,328.93333333333334,40,40
336.2,329.06666666666666,40,40
336.6,328.93333333333334,40,40
337.6,328.93333333333334,40,40
337.8,329.06666666666666,40,40
333.2,328.93333333333334,40,40
328.0,329.2,40,40
327.6,329.3333333333333,40,40
327.6,329.06666666666666,40,40
327.0,329.3333333333333,40,40
326.6,331.2,40,40
327.0,332.53333333333336,40,40
327.4,332.0,40,40
326.8,332.1333333333333,40,40
325.4,332.26666666666665,40,40
324.0,332.4,40,40
324.0,332.0,40,40
324.0,332.26666666666665,40,40
323.0,332.4,40,40
323.8,331.8666666666667,40,40
323.0,332.1333333333333,40,40
327.6,330.53333333333336,40,40
332.2,328.53333333333336,40,40
332.2,328.26666666666665,40,40
332.8,328.1333333333333,40,40
334.0,328.0,40,40
339.0,326.6666666666667,40,40
340.2,326.6666666666667,40,40
341.2,326.4,40,40
341.4,325.8666666666667,40,40
341.6,326.0,40,40
337.0,326.1333333333333,40,40
332.4,325.8666666666667,40,40
332.0,326.0,40,40
331.8,326.8,40,40
332.4,326.6666666666667,40,40
326.2,328.6666666666667,40,40
326.4,330.4,40,40
325.0,331.06666666666666,40,40
324.0,331.3333333333333,40,40
324.4,331.73333333333335,40,40
323.8,333.6,40,40
323.2,334.1333333333333,40,40
322.2,334.93333333333334,40,40
322.0,335.46666666666664,40,40
320.6,335.2,40,40
320.4,335.73333333333335,40,40
319.0,336.26666666666665,40,40
319.0,336.4,40,40
319.8,335.8666666666667,40,40
319.4,336.26666666666665,40,40
319.4,336.1333333333333,40,40
318.4,336.53333333333336,40,40
318.6,336.6666666666667,40,40
319.6,335.6,40,40
320.6,335.2,40,40
320.2,335.3333333333333,40,40
320.0,335.3333333333333,500,40
319.6,335.06666666666666,500,40
319.2,335.06666666666666,500,40
319.2,335.06666666666666,500,40
324.6,332.93333333333334,500,40
331.0,330.8,500,40
331.0,330.4,500,40
336.2,328.8,500,40
333.4,327.73333333333335,500,40
